id	chat_id	action_id	action_order	action_period	description	privacy	order	status
1	1	2	1	48167		1	1	1
2	1	3	1	46201		1	1	1
3	1	4	1	31784		1	1	1
4	1	5	1	34688		1	1	1
5	1	6	1	53048		1	1	1
6	1	7	1	34066		1	1	1
7	1	8	1	51393		1	1	1
8	1	9	1	43786		1	1	1
9	1	10	1	38561		1	1	1
10	1	11	1	53346		1	1	1
11	1	12	1	49210		1	1	1
12	1	13	1	44442		1	1	1
13	1	14	1	48381		1	1	1
14	1	15	1	39034		1	1	1
15	1	16	1	38349		1	1	1
16	1	17	1	35282		1	1	1
17	1	18	1	39842		1	1	1
18	1	19	1	37578		1	1	1
19	1	20	1	48527		1	1	1
20	1	21	1	36939		1	1	1
21	1	22	1	30992		1	1	1
22	1	23	1	52078		1	1	1
23	1	24	1	42022		1	1	1
24	1	25	1	51458		1	1	1
25	1	26	1	45689		1	1	1
26	1	27	1	37619		1	1	1
27	1	28	1	30092		1	1	1
28	1	29	1	46464		1	1	1
29	1	30	1	44786		1	1	1
30	1	31	1	38317		1	1	1
31	1	32	1	49348		1	1	1
32	1	33	1	38359		1	1	1
33	1	34	1	54567		1	1	1
34	1	35	1	42669		1	1	1
35	1	36	1	33927		1	1	1
36	1	37	1	42312		1	1	1
37	1	38	1	54751		1	1	1
38	1	39	1	32407		1	1	1
39	1	41	1	49849		1	1	1
40	1	42	1	53354		1	1	1
41	1	43	1	54265		1	1	1
42	1	44	1	38171		1	1	1
43	1	45	1	33122		1	1	1
44	1	46	1	33063		1	1	1
45	1	47	1	42155		1	1	1
46	1	48	1	38874		1	1	1
47	1	49	1	36163		1	1	1
48	1	50	1	49461		1	1	1
49	1	51	1	45537		1	1	1
50	1	52	1	30231		1	1	1
51	1	53	1	39121		1	1	1
52	1	54	1	52558		1	1	1
53	1	55	1	34780		1	1	1
54	1	56	1	30581		1	1	1
55	1	57	1	36004		1	1	1
56	1	58	1	37103		1	1	1
57	1	59	1	47667		1	1	1
58	1	60	1	33919		1	1	1
59	1	61	1	45218		1	1	1
60	1	62	1	31433		1	1	1
61	1	63	1	44189		1	1	1
62	1	64	1	50932		1	1	1
63	1	65	1	30550		1	1	1
64	1	66	1	49715		1	1	1
65	1	67	1	34308		1	1	1
66	1	68	1	44304		1	1	1
67	1	69	1	47907		1	1	1
68	1	70	1	42665		1	1	1
69	1	71	1	52581		1	1	1
70	1	72	1	35819		1	1	1
71	1	73	1	35544		1	1	1
72	1	74	1	44764		1	1	1
73	1	75	1	54817		1	1	1
74	1	76	1	47329		1	1	1
75	1	77	1	38821		1	1	1
76	1	78	1	44977		1	1	1
77	2	2	1	32208		1	1	1
78	2	7	1	49773		1	1	1
79	2	8	1	49919		1	1	1
80	2	9	1	48202		1	1	1
81	2	10	1	31973		1	1	1
82	2	11	1	36625		1	1	1
83	2	14	1	54444		1	1	1
84	2	15	1	31358		1	1	1
85	2	17	1	39268		1	1	1
86	2	18	1	38805		1	1	1
87	2	19	1	43106		1	1	1
88	2	20	1	31111		1	1	1
89	2	23	1	31741		1	1	1
90	2	28	1	37798		1	1	1
91	2	30	1	51089		1	1	1
92	2	32	1	33779		1	1	1
93	2	36	1	52951		1	1	1
94	2	39	1	50155		1	1	1
95	2	41	1	33194		1	1	1
96	2	43	1	52439		1	1	1
97	2	44	1	37981		1	1	1
98	2	45	1	39723		1	1	1
99	2	46	1	43212		1	1	1
100	2	47	1	30527		1	1	1
101	2	48	1	35515		1	1	1
102	2	49	1	38026		1	1	1
103	2	50	1	54817		1	1	1
104	2	51	1	45959		1	1	1
105	2	52	1	31730		1	1	1
106	2	53	1	40451		1	1	1
107	2	54	1	53544		1	1	1
108	2	55	1	37197		1	1	1
109	2	56	1	36696		1	1	1
110	2	57	1	37575		1	1	1
111	2	58	1	47168		1	1	1
112	2	59	1	46390		1	1	1
113	2	60	1	48953		1	1	1
114	2	61	1	36439		1	1	1
115	2	62	1	37438		1	1	1
116	2	63	1	37165		1	1	1
117	2	64	1	45557		1	1	1
118	2	65	1	37762		1	1	1
119	2	66	1	36952		1	1	1
120	2	67	1	47807		1	1	1
121	2	68	1	39442		1	1	1
122	2	69	1	38700		1	1	1
123	2	70	1	50764		1	1	1
124	2	71	1	43698		1	1	1
125	2	72	1	31771		1	1	1
126	2	73	1	31206		1	1	1
127	2	74	1	50140		1	1	1
128	2	75	1	41839		1	1	1
129	2	76	1	33492		1	1	1
130	2	77	1	51024		1	1	1
131	2	78	1	32379		1	1	1
132	3	2	1	46915		1	1	1
133	3	3	1	31559		1	1	1
134	3	4	1	48064		1	1	1
135	3	5	1	34286		1	1	1
136	3	7	1	33584		1	1	1
137	3	8	1	52693		1	1	1
138	3	9	1	34966		1	1	1
139	3	10	1	40558		1	1	1
140	3	14	1	44145		1	1	1
141	3	17	1	37875		1	1	1
142	3	18	1	43228		1	1	1
143	3	20	1	47523		1	1	1
144	3	23	1	53518		1	1	1
145	3	25	1	46849		1	1	1
146	3	26	1	44890		1	1	1
147	3	27	1	38196		1	1	1
148	3	31	1	41385		1	1	1
149	3	32	1	47586		1	1	1
150	3	33	1	46701		1	1	1
151	3	41	1	54385		1	1	1
152	3	42	1	39234		1	1	1
153	3	49	1	31177		1	1	1
154	3	50	1	54416		1	1	1
155	3	51	1	30170		1	1	1
156	3	53	1	52113		1	1	1
157	3	54	1	38631		1	1	1
158	3	55	1	43501		1	1	1
159	3	56	1	52179		1	1	1
160	3	58	1	40714		1	1	1
161	3	59	1	45406		1	1	1
162	3	60	1	54614		1	1	1
163	3	61	1	32641		1	1	1
164	3	62	1	53814		1	1	1
165	3	63	1	43185		1	1	1
166	3	65	1	39692		1	1	1
167	3	66	1	43610		1	1	1
168	3	68	1	52371		1	1	1
169	3	69	1	46327		1	1	1
170	3	70	1	30212		1	1	1
171	3	72	1	54117		1	1	1
172	3	73	1	42733		1	1	1
173	3	74	1	31138		1	1	1
174	3	75	1	54820		1	1	1
175	3	76	1	37166		1	1	1
176	3	77	1	30548		1	1	1
177	3	78	1	51825		1	1	1
178	4	2	1	49152		1	1	1
179	4	6	1	35896		1	1	1
180	4	7	1	53561		1	1	1
181	4	8	1	36067		1	1	1
182	4	9	1	46647		1	1	1
183	4	10	1	35404		1	1	1
184	4	12	1	53958		1	1	1
185	4	13	1	42400		1	1	1
186	4	14	1	38668		1	1	1
187	4	15	1	53526		1	1	1
188	4	16	1	52102		1	1	1
189	4	17	1	44522		1	1	1
190	4	19	1	49292		1	1	1
191	4	21	1	47751		1	1	1
192	4	23	1	44519		1	1	1
193	4	24	1	47678		1	1	1
194	4	26	1	44764		1	1	1
195	4	27	1	54817		1	1	1
196	4	28	1	47329		1	1	1
197	4	29	1	38821		1	1	1
198	4	30	1	44977		1	1	1
199	4	31	1	50140		1	1	1
200	4	32	1	41839		1	1	1
201	4	34	1	33492		1	1	1
202	4	35	1	51024		1	1	1
203	4	36	1	32379		1	1	1
204	4	37	1	31138		1	1	1
205	4	38	1	54820		1	1	1
206	4	39	1	37166		1	1	1
207	4	41	1	30548		1	1	1
208	4	43	1	51825		1	1	1
209	4	44	1	33858		1	1	1
210	4	45	1	44140		1	1	1
211	4	46	1	47296		1	1	1
212	4	47	1	53114		1	1	1
213	4	48	1	36501		1	1	1
214	4	49	1	42245		1	1	1
215	4	50	1	35881		1	1	1
216	4	51	1	54214		1	1	1
217	4	52	1	42489		1	1	1
218	4	53	1	51672		1	1	1
219	4	54	1	53402		1	1	1
220	4	55	1	44113		1	1	1
221	4	57	1	45370		1	1	1
222	4	58	1	31731		1	1	1
223	4	59	1	37240		1	1	1
224	4	60	1	46240		1	1	1
225	4	61	1	37745		1	1	1
226	4	62	1	38881		1	1	1
227	4	63	1	33576		1	1	1
228	4	64	1	54594		1	1	1
229	4	65	1	48276		1	1	1
230	4	66	1	32476		1	1	1
231	4	67	1	47374		1	1	1
232	4	68	1	31586		1	1	1
233	4	69	1	53430		1	1	1
234	4	70	1	36103		1	1	1
235	4	71	1	39205		1	1	1
236	4	72	1	37585		1	1	1
237	4	73	1	47678		1	1	1
238	4	74	1	33858		1	1	1
239	4	75	1	50065		1	1	1
240	4	76	1	50065		1	1	1
241	4	77	1	50065		1	1	1
242	4	78	1	50065		1	1	1
